date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-05-30,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
2018-05-31,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
2018-06-01,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
2018-06-04,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
2018-06-05,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
2018-06-06,9.25,12,-1.00 (-7.69 %),200,2400000,0,0,13,12,12,12,9.25
2018-06-07,9.27,12,0.00 (0.00 %),6100,73380000,0,0,12,13.7,13.7,12,9.25
2018-06-08,9.25,12,0.00 (0.00 %),3000,36000000,0,0,12,12,12,12,9.25
2018-06-11,9.25,11.1,0.00 (0.00 %),0,0,0,0,11.1,11.1,11.1,11.1,9.25
2018-06-12,10.5,12.6,1.50 (13.51 %),100,1260000,0,0,11.1,12.6,12.6,12.6,10.5
2018-06-13,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-14,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-15,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-18,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-19,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-20,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-21,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-22,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-25,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-26,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-27,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
